"condition","alpha","choice","mean","lower","upper"
"none",0.71,"IE",0.303983323211492,0.213113163878441,0.401710916757078
"none",0.72,"Nash",0.510577951548701,0.379345730734845,0.641829264582697
"none",0.72,"IE",0.304471696692007,0.213070624798593,0.401641555727862
"none",0.73,"Nash",0.510369166171106,0.378809081875119,0.641573163808341
"none",0.73,"IE",0.304891771881473,0.212381266386192,0.402025096778177
"none",0.74,"Nash",0.510207487397527,0.379050306798959,0.641269359315952
"none",0.74,"IE",0.305248409237933,0.212604124698295,0.402932532784259
"none",0.75,"Nash",0.510089113706291,0.379818737646568,0.641592494052885
"none",0.75,"IE",0.305546399882419,0.212822139968382,0.403486223223153
"none",0.76,"Nash",0.51001033173758,0.379919323361442,0.642332884745242
"none",0.76,"IE",0.305790423061045,0.21336152339432,0.403195816948985
"none",0.77,"Nash",0.509967527979053,0.380165484628073,0.642184066359553
"none",0.77,"IE",0.30598503064813,0.2139545662644,0.403187853463864
"none",0.78,"Nash",0.509957178601844,0.380199757802806,0.641839797224627
"none",0.78,"IE",0.306134658798864,0.214241973654171,0.40330520270562
"none",0.79,"Nash",0.50997581721461,0.37993086271576,0.641474131792382
"none",0.79,"IE",0.306243667051159,0.214101532606632,0.404143492328277
"none",0.8,"Nash",0.510019980228698,0.380234084430483,0.641798996147945
"none",0.8,"IE",0.306316405249986,0.213982021703091,0.4037898460626
"none",0.81,"Nash",0.510086412412616,0.380595532792415,0.641356221286207
"none",0.81,"IE",0.306356950975816,0.214183541184136,0.403305283481689
"none",0.82,"Nash",0.510172861453542,0.380153707746702,0.641246355269082
"none",0.82,"IE",0.306368104687993,0.214227576234526,0.404379739044435
"none",0.83,"Nash",0.510277289688061,0.379800322168452,0.641825655119713
"none",0.83,"IE",0.30635239102785,0.214861258228182,0.403898968960897
"none",0.84,"Nash",0.51039767399026,0.380221705346467,0.641716936640846
"none",0.84,"IE",0.306312315186065,0.21465454216882,0.404040458439019
"none",0.85,"Nash",0.510532065711329,0.38041496216207,0.642026843877681
"none",0.85,"IE",0.306250289680924,0.214345276665799,0.403649634248464
"none",0.86,"Nash",0.510678627805719,0.380634000032497,0.642287508098314
"none",0.86,"IE",0.306168589542179,0.214320962632257,0.403546685176636
"none",0.87,"Nash",0.510835649005674,0.380834966099322,0.642529197458601
"none",0.87,"IE",0.306069336029794,0.213962698339351,0.403333558523133
"none",0.88,"Nash",0.511001534867704,0.380825365330158,0.643016922881283
"none",0.88,"IE",0.305954509049399,0.213576013341935,0.403318437237058
"none",0.89,"Nash",0.511174775503254,0.381238241772832,0.643314754071009
"none",0.89,"IE",0.305825988431646,0.213200034389486,0.403490046374473
"none",0.9,"Nash",0.511353889797083,0.381309696415718,0.643474767848353
"none",0.9,"IE",0.305685624254264,0.213407192088413,0.40366645136704
"none",0.91,"Nash",0.511537511090266,0.380078634147141,0.643572648549665
"none",0.91,"IE",0.305535191082586,0.213530821577461,0.40337692990457
"none",0.92,"Nash",0.511724794824686,0.380093548205125,0.643345045763508
"none",0.92,"IE",0.305376058935599,0.213710204946466,0.403246379682154
"none",0.93,"Nash",0.511914915005562,0.379525769470277,0.644084990989507
"none",0.93,"IE",0.305209634834338,0.213033602027028,0.40306677398929
"none",0.94,"Nash",0.512106955540857,0.379951807584165,0.645049452329228
"none",0.94,"IE",0.305037437945879,0.212872527960379,0.40252029736691
